participant_id,session_id,xdf_filename,stream_name,channel_index,channel_label,channel_unit,is_true_emg,is_official_code_selected_index_0_or_1,sample_count,finite_count,nan_count,posinf_count,neginf_count,finite_fraction,mean,std,minimum,maximum,robust_range_p01_p99,constant_channel,near_constant_channel,qc_status
P016,S001,sub-P016_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,604882,604882,0,0,0,1.0,3767.337311421768,11.783767702056865,3657.142822265625,3827.106201171875,64.46875,False,False,PASS
P016,S001,sub-P016_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,604882,604882,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P016,S001,sub-P016_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,604882,604882,0,0,0,1.0,8.505422510914679,0.17790873683873407,8.023819923400879,9.694204330444336,0.8952455520629883,False,False,PASS
P016,S001,sub-P016_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,604882,604882,0,0,0,1.0,0.3458043883996167,0.4121106560706557,-0.8653874397277832,1.766907811164856,1.819839285612101,False,False,PASS
P017,S001,sub-P017_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,579720,579720,0,0,0,1.0,3773.3228399240015,11.97007857172457,3665.93408203125,3832.967041015625,68.864501953125,False,False,PASS
P017,S001,sub-P017_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,579720,579720,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P017,S001,sub-P017_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,579720,579720,0,0,0,1.0,8.262694545400189,0.1279685513524149,7.619385719299316,8.992124557495117,0.6053844070434558,False,False,PASS
P017,S001,sub-P017_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,579720,579720,0,0,0,1.0,-1.85398175725741,0.49793924029212816,-4.479498386383057,-0.3126232326030731,1.6552303236722916,False,False,PASS
P017,S002,sub-P666_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,624311,624311,0,0,0,1.0,3768.6057038466706,11.963363742676389,3657.142822265625,3827.106201171875,68.864501953125,False,False,PASS
P017,S002,sub-P666_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,624311,624311,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P017,S002,sub-P666_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,624311,624311,0,0,0,1.0,-6.531744959948199,0.28815875595060125,-7.186848163604736,-5.893466949462891,1.0609092712402344,False,False,PASS
P017,S002,sub-P666_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,624311,624311,0,0,0,1.0,-2.7866502881840813,0.36617040368788484,-5.145974159240723,-1.2849910259246826,1.4881575107574463,False,False,PASS
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,642502,642502,0,0,0,1.0,3769.756541234654,10.743302180689074,3668.864501953125,3790.47607421875,43.9560546875,False,False,PASS
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,642502,642502,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,642502,642502,0,0,0,1.0,13.431090201834772,0.3943870188127363,12.094989776611328,14.618525505065918,2.0526771545410156,False,False,PASS
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,642502,642502,0,0,0,1.0,-0.566555686835663,1.3124009742149418,-4.133795261383057,2.539594888687134,5.003702521324158,False,False,PASS
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,53097,0,53097,0,0,0.0,,,,,,False,False,NONFINITE
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,53097,0,53097,0,0,0.0,,,,,,False,False,NONFINITE
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,53097,0,53097,0,0,0.0,,,,,,False,False,NONFINITE
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,53097,0,53097,0,0,0.0,,,,,,False,False,NONFINITE
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,642257,642257,0,0,0,1.0,3761.3607339853766,11.975907772705776,3651.281982421875,3819.7802734375,68.864501953125,False,False,PASS
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,642257,642257,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,642257,642257,0,0,0,1.0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,True,True,CONSTANT
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,642257,642257,0,0,0,1.0,-24.136097473409126,0.40201467767811927,-25.090009689331055,-20.267885208129883,1.5874195098876918,False,False,PASS
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,613512,613512,0,0,0,1.0,3773.304554602551,12.024449680846129,3660.0732421875,3832.967041015625,70.329833984375,False,False,PASS
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,613512,613512,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,613512,613512,0,0,0,1.0,1.2055537343260658,1.2675007343492728,-2.350780487060547,3.5214107036590576,4.4805803298950195,False,False,PASS
