relative_path,category,modality,sampling_rate,channels,data_shape,timestamps_shape
DEJA-VU/preprocessed/clean_P016_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11830, 1]",[11830]
DEJA-VU/preprocessed/clean_P017_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[580589, 4]",[580589]
DEJA-VU/preprocessed/clean_P017_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[340187, 7]",[340187]
DEJA-VU/preprocessed/clean_P017_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[579720, 2]",[579720]
DEJA-VU/preprocessed/clean_P017_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11340, 1]",[11340]
DEJA-VU/preprocessed/clean_P017_S002.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[624961, 4]",[624961]
DEJA-VU/preprocessed/clean_P017_S002.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[366287, 7]",[366287]
DEJA-VU/preprocessed/clean_P017_S002.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[624311, 2]",[624311]
DEJA-VU/preprocessed/clean_P017_S002.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12209, 1]",[12209]
DEJA-VU/preprocessed/clean_P018_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[643911, 4]",[643911]
DEJA-VU/preprocessed/clean_P018_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[377384, 7]",[377384]
DEJA-VU/preprocessed/clean_P018_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[642502, 2]",[642502]
DEJA-VU/preprocessed/clean_P018_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12574, 1]",[12574]
DEJA-VU/preprocessed/clean_P019_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[602876, 4]",[602876]
DEJA-VU/preprocessed/clean_P019_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[353237, 7]",[353237]
DEJA-VU/preprocessed/clean_P019_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[53097, 2]",[53097]
DEJA-VU/preprocessed/clean_P019_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11775, 1]",[11775]
